contributor,feat_num_activities,feat_num_activity_type,feat_repos,feat_owner,feat_ratio_owner_repo,consecutive_activity_time_mean,consecutive_activity_time_50%,consecutive_activity_time_std,consecutive_activity_time_gini,consecutive_activity_time_IQR,activity_per_repo_mean,activity_per_repo_50%,activity_per_repo_std,activity_per_repo_gini,activity_per_repo_IQR,activity_type_per_repo_mean,activity_type_per_repo_50%,activity_type_per_repo_std,activity_type_per_repo_gini,activity_type_per_repo_IQR,continuous_activity_repo_mean,continuous_activity_repo_50%,continuous_activity_repo_std,continuous_activity_repo_gini,continuous_activity_repo_IQR,time_spent_in_repo_mean,time_spent_in_repo_50%,time_spent_in_repo_std,time_spent_in_repo_gini,time_spent_in_repo_IQR,time_to_switch_repo_mean,time_to_switch_repo_50%,time_to_switch_repo_std,time_to_switch_repo_gini,time_to_switch_repo_IQR,time_to_switch_act_type_mean,time_to_switch_act_type_50%,time_to_switch_act_type_std,time_to_switch_act_type_gini,time_to_switch_act_type_IQR,activity_per_act_type_mean,activity_per_act_type_50%,activity_per_act_type_std,activity_per_act_type_gini,activity_per_act_type_IQR
otc-zuul[bot],185,5,22,4,0.182,1.937,0.0,7.485,0.892,0.208,8.409,5.5,8.01,0.454,6.0,3.045,3.0,0.575,0.067,0.0,3.7,3.0,1.488,0.185,1.0,0.249,0.0,1.317,0.942,0.0,7.02,1.55,13.295,0.74,5.215,1.987,0.0,7.668,0.895,0.153,37.0,57.0,31.161,0.385,54.0
ljharb,245,16,63,31,0.492,0.932,0.059,2.618,0.846,0.467,3.889,2.0,5.725,0.574,3.0,1.889,1.0,1.733,0.376,1.0,1.655,1.0,2.536,0.341,1.0,0.202,0.0,0.956,0.798,0.0,1.343,0.133,3.183,0.809,0.847,1.037,0.047,2.916,0.855,0.472,15.312,7.0,20.48,0.608,11.75
juancarlospaco,126,13,37,20,0.541,13.648,0.331,28.672,0.807,13.434,3.405,1.0,5.54,0.561,2.0,1.676,1.0,1.056,0.279,1.0,1.556,1.0,0.962,0.272,1.0,3.129,0.0,13.658,0.835,0.034,18.156,1.423,32.672,0.765,22.097,13.389,0.303,26.708,0.792,14.841,9.692,4.0,11.87,0.591,12.0
tldr-bot,300,1,1,1,1.0,7.091,0.356,12.523,0.767,10.115,300.0,300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,2120.163,2120.163,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0
jakirkham,262,12,66,18,0.273,0.219,0.024,1.036,0.869,0.081,3.97,2.0,5.057,0.526,3.0,1.591,1.0,1.123,0.296,1.0,1.48,1.0,1.056,0.27,0.0,0.015,0.0,0.047,0.588,0.0,0.309,0.031,1.252,0.866,0.128,0.278,0.026,1.25,0.878,0.089,21.833,8.0,30.322,0.601,17.5
release-drafter[bot],300,1,96,67,0.698,4.872,2.473,6.772,0.603,4.614,3.125,1.0,6.137,0.575,1.0,1.0,1.0,0.0,0.0,0.0,1.087,1.0,0.351,0.075,0.0,0.287,0.0,1.799,0.601,0.0,5.009,2.473,6.882,0.597,4.911,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0
kurnevsky,292,13,15,11,0.733,5.378,0.983,11.837,0.77,4.222,19.467,3.0,53.441,0.79,3.5,2.533,2.0,1.807,0.326,1.5,3.65,1.0,5.512,0.589,2.0,10.72,0.0,23.122,0.576,4.805,8.952,2.307,17.307,0.729,10.452,8.406,2.187,16.811,0.737,10.427,22.462,4.0,62.592,0.807,6.0
foreign-sub,18,3,1,1,1.0,104.475,0.164,153.856,0.697,258.526,18.0,18.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,1776.082,1776.082,0.0,0.0,0.0,,,0.0,0.0,,57.169,0.062,116.933,0.813,1.717,6.0,6.0,3.0,0.222,3.0
andriifilippov,106,4,2,1,0.5,20.471,1.387,44.019,0.776,22.479,53.0,53.0,5.657,0.038,4.0,3.0,3.0,0.0,0.0,0.0,5.579,4.0,4.88,0.443,5.5,60.463,19.151,121.312,0.739,55.207,55.595,22.738,81.898,0.637,67.092,15.201,1.942,29.549,0.754,20.196,26.5,16.5,22.428,0.34,14.0
shopify[bot],300,4,35,34,0.971,0.009,0.006,0.012,0.523,0.007,8.571,2.0,16.623,0.7,4.0,1.086,1.0,0.507,0.077,0.0,1.493,1.0,1.105,0.27,1.0,0.004,0.0,0.013,0.488,0.004,0.009,0.005,0.014,0.593,0.008,0.006,0.001,0.008,0.614,0.009,75.0,2.0,146.667,0.735,73.5
